Athlete_ID,Training_Program,Diet_Type,Initial_Fitness,Performance_Inc
1,Strength,Keto,Low,8.749523632892886
2,HIIT,Plant-Based,High,9.452780512992064
3,Strength,Plant-Based,Low,13.9285059339898
4,Strength,Plant-Based,High,9.605556658292953
5,HIIT,Plant-Based,Low,7.547893991603795
6,HIIT,High-Protein,Low,10.083330534250766
7,Strength,Plant-Based,Medium,10.35625685152213
8,Endurance,Keto,Medium,10.071270919700911
9,Strength,Keto,High,11.599382445170415
10,Strength,Plant-Based,Medium,10.138011022718066
11,Strength,Plant-Based,High,11.537454984294659
12,Strength,Keto,Medium,8.43931329188457
13,HIIT,Keto,Low,13.561458876290445
14,Strength,High-Protein,High,10.50495957668717
15,Endurance,Keto,High,10.800437940814076
16,HIIT,High-Protein,Low,8.430976212373395
17,Endurance,High-Protein,High,10.943653982532792
18,Endurance,High-Protein,High,11.302130113340608
19,Endurance,High-Protein,Medium,7.66046313234982
20,Endurance,High-Protein,High,6.681816823224686
21,HIIT,Plant-Based,Low,10.587332047218931
22,HIIT,Keto,Medium,9.022460353088935
23,Endurance,High-Protein,Medium,10.51984293827146
24,Endurance,Keto,Low,7.41792785820377
25,HIIT,Keto,Low,6.878988171234658
26,HIIT,High-Protein,Medium,10.413378926002155
27,HIIT,Plant-Based,High,9.300432478086295
28,Strength,High-Protein,Medium,5.778600957699643
29,Strength,Plant-Based,Low,12.686197636215459
30,Strength,Keto,Medium,7.384685863632486
31,Endurance,Plant-Based,Low,15.146649904220865
32,Strength,Plant-Based,Medium,8.751966542222842
33,Endurance,Plant-Based,High,10.803121136251997
34,Endurance,Keto,Medium,13.293898020774371
35,Strength,Keto,Medium,12.95886785565765
36,Endurance,Plant-Based,Low,13.972272812453765
37,Strength,Plant-Based,Low,6.953847522239293
38,Strength,High-Protein,Low,7.728269004985506
39,HIIT,Plant-Based,Medium,10.45199454818806
40,Strength,High-Protein,High,11.679494875795427
41,HIIT,Plant-Based,Low,9.977545113240724
42,Strength,High-Protein,Low,6.724011928573223
43,Strength,Keto,Medium,10.993156317929598
44,HIIT,Plant-Based,Low,9.61149722353193
45,HIIT,Plant-Based,High,9.587522082088267
46,Strength,Plant-Based,High,5.444099164378885
47,Endurance,Plant-Based,Low,11.594968408956628
48,HIIT,High-Protein,Low,10.290408120570916
49,Endurance,Plant-Based,Medium,13.590329113277926
50,Endurance,Keto,High,9.850984706937655
51,Endurance,Keto,High,11.132680261038045
52,HIIT,Plant-Based,Low,11.663636352210526
53,Endurance,Keto,Medium,6.507676882677618
54,HIIT,Plant-Based,High,15.233399893203186
55,Endurance,Plant-Based,High,9.138415224154766
56,Strength,Keto,Medium,10.989133204284968
57,Strength,Plant-Based,Medium,11.281164013898303
58,HIIT,Keto,High,8.370431744019406
59,Strength,High-Protein,High,13.693960662895206
60,Strength,Plant-Based,Medium,10.531910538708864
61,Endurance,High-Protein,High,9.573054726185333
