instance_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,music_genre
32894,27,0.00468,0.652,-1,0.941,0.792,0.115,-5.201,0.0748,100.889,0.759,Electronic
46652,31,0.0127,0.622,218293,0.89,0.95,0.124,-7.043,0.03,115.002,0.531,Electronic
30097,28,0.00306,0.62,215613,0.755,0.0118,0.534,-4.617,0.0345,127.994,0.333,Electronic
62177,34,0.0254,0.774,166875,0.7,0.00253,0.157,-4.498,0.239,128.014,0.27,Electronic
24907,32,0.00465,0.638,222369,0.587,0.909,0.157,-6.266,0.0413,145.036,0.323,Electronic
43760,46,0.0289,0.572,214408,0.803,0.00000774,0.106,-4.294,0.351,149.995,0.23,Electronic
30738,43,0.0297,0.809,416132,0.706,0.903,0.0635,-9.339,0.0484,120.008,0.761,Electronic
84950,39,0.00299,0.509,292800,0.921,0.000276,0.178,-3.175,0.268,149.948,0.273,Electronic
56950,22,0.00934,0.578,204800,0.731,0.0112,0.111,-7.091,0.173,139.933,0.203,Electronic
49030,30,0.855,0.607,170463,0.158,0,0.106,-13.787,0.0345,57.528,0.307,Electronic
22654,27,0.0337,0.513,165132,0.828,0.569,0.109,-5.439,0.0609,178.543,0.0591,Electronic
69056,31,0.016,0.66,236089,0.892,0.000605,0.163,-3.464,0.0645,128.043,0.111,Electronic
62039,31,0.86,0.737,-1,0.405,0.0361,0.173,-10.536,0.0424,154.745,0.647,Electronic
49205,27,0.000194,0.601,243857,0.969,0.776,0.409,-1.553,0.185,139.911,0.198,Electronic
83192,50,0.00331,0.391,240000,0.957,0.22,0.112,-2.51,0.0904,100.024,0.121,Electronic
83926,59,0.136,0.336,-1,0.746,0,0.737,-4.315,0.0685,151.756,0.21,Electronic
54696,29,0.158,0.66,266282,0.784,0.000279,0.0978,-4.396,0.0571,127.958,0.622,Electronic
49375,35,0.0000602,0.259,185333,0.687,0.00862,0.338,-3.231,0.0413,135.532,0.114,Electronic
66905,50,0.0281,0.656,307328,0.653,0.858,0.112,-11.883,0.0396,117.999,0.199,Electronic
58010,44,0.00804,0.516,241877,0.92,0.614,0.801,-4.37,0.0942,145.027,0.332,Electronic
56436,29,0.00998,0.854,227756,0.335,0.67,0.0761,-9.062,0.0545,83.943,0.509,Electronic
62931,43,0.00949,0.629,364347,0.697,0.235,0.118,-11.293,0.0765,162.266,0.844,Electronic
50675,33,0.00825,0.659,215280,0.912,0,0.543,-4.212,0.0562,109.965,0.501,Electronic
40033,56,0.068,0.725,-1,0.877,0.0000362,0.09,-3.496,0.0646,105.919,0.0977,Electronic
36047,34,0.0236,0.715,221050,0.978,0.000493,0.216,-1.538,0.362,125.109,0.418,Electronic
81428,21,0.00362,0.713,214000,0.824,0.492,0.311,-7.475,0.0409,120.002,0.454,Electronic
69214,29,0.00336,0.291,309943,0.94,0.0001159999999999,0.105,-4.044,0.319,174.86,0.146,Electronic
75870,31,0.0422,0.6,446413,0.796,0.911,0.145,-12.749,0.0468,115.01,0.0318,Electronic
21409,28,0.0336,0.74,222241,0.83,0.401,0.0961,-3.783,0.0603,135.057,0.155,Electronic
78743,35,0.000556,0.585,264576,0.953,0.00949,0.385,-2.734,0.0797,127.989,0.661,Electronic
63497,48,0.0001899999999999,0.595,467816,0.942,0.72,0.318,-11.22,0.0416,130.013,0.0333,Electronic
51979,53,0.103,0.573,240627,0.686,0.0117,0.112,-2.706,0.0549,60.191,0.29,Electronic
64269,63,0.414,0.81,297775,0.591,0.799,0.072,-13.385,0.0638,136.028,0.297,Electronic
28849,25,0.149,0.419,346324,0.879,0.476,0.261,-2.876,0.0481,109.055,0.61,Electronic
87650,36,0.66,0.605,242773,0.555,0.862,0.28,-9.661,0.035,160.179,0.462,Electronic
50080,36,0.181,0.611,-1,0.676,0.00000535,0.139,-9.113,0.0461,139.959,0.573,Electronic
85160,34,0.0000788,0.578,367307,0.76,0.015,0.0538,-5.865,0.0441,136.059,0.575,Electronic
82465,43,0.169,0.685,-1,0.909,0.000663,0.942,-7.627,0.043,119.978,0.962,Electronic
37340,31,0.0035,0.595,222147,0.904,0.0037799999999999,0.0533,-6.805,0.0349,127.61,0.841,Electronic
32724,37,0.00929,0.617,-1,0.896,0.0776,0.526,-0.317,0.19,149.92,0.546,Electronic
77227,48,0.00409,0.721,260952,0.938,0.275,0.38,-3.818,0.0921,126.011,0.161,Electronic
89698,30,0.0579999999999999,0.815,233893,0.509,0.877,0.0954,-12.991,0.0486,113.475,0.771,Electronic
46931,55,0.636,0.62,376733,0.318,0.879,0.118,-15.88,0.0399,150.379,0.2,Electronic
21011,25,0.0378,0.716,259587,0.986,0.382,0.159,-3.46,0.0676,125.971,0.681,Electronic
52294,49,0.111,0.714,196507,0.867,0.0000855,0.325,-6.295,0.0569,122.915,0.872,Electronic
29034,59,0.173,0.542,237827,0.749,0.942,0.315,-8.333,0.0277,94.031,0.674,Electronic
82537,27,0.702,0.598,-1,0.573,0.938,0.0994,-15.523,0.0401,111.376,0.56,Electronic
84151,33,0.718,0.518,233613,0.302,0.94,0.103,-13.57,0.0336,170.025,0.296,Electronic
75666,32,0.0662,0.515,205507,0.998,0.521,0.521,-2.189,0.156,127.74,0.154,Electronic
50750,41,0.627,0.774,356576,0.741,0.673,0.116,-8.007,0.0919,123.973,0.688,Electronic
22365,47,0.0004089999999999,0.567,188764,0.898,0.613,0.249,-1.286,0.125,74.995,0.183,Electronic
20276,39,0.0106,0.652,341400,0.312,0.35,0.0745,-17.647,0.0518,105.965,0.211,Electronic
20659,41,0.00155,0.653,201410,0.899,0.799,0.148,-3.954,0.035,142.999,0.306,Electronic
25644,38,0.0827,0.908,227467,0.978,0.00117,0.389,-1.51,0.306,127.983,0.729,Electronic
72418,27,0.216,0.626,337091,0.362,0.867,0.681,-14.892,0.0479,109.948,0.107,Electronic
30828,38,0.0816,0.689,202333,0.874,0.129,0.272,-5.275,0.0464,121.019,0.961,Electronic
58304,52,0.0084599999999999,0.583,-1,0.673,0.829,0.303,-11.457,0.0268,111.983,0.19,Electronic
75017,32,0.0151,0.728,248276,0.902,0.00144,0.361,-0.643,0.197,145.043,0.22,Electronic
29586,34,0.0143,0.502,268000,0.869,0.0069099999999999,0.291,-3.899,0.0981,150.119,0.415,Electronic
52627,33,0.0192,0.665,312227,0.888,0.0000713,0.112,-5.99,0.0409,127.628,0.622,Electronic
35227,31,0.011,0.592,219293,0.695,0.00000236,0.336,-7.988,0.0291,117.858,0.658,Electronic
45906,28,0.00431,0.617,223300,0.944,0.0000781,0.268,-2.849,0.318,149.541,0.238,Electronic
70473,27,0.0003549999999999,0.814,378688,0.877,0.455,0.206,-6.84,0.0533,122.003,0.64,Electronic
31739,38,0.00226,0.657,174227,0.709,0.63,0.2,-6.533,0.0579,80.499,0.779,Electronic
46167,36,0.196,0.746,442189,0.459,0.871,0.182,-13.506,0.066,120.015,0.351,Electronic
55154,31,0.178,0.709,188680,0.677,0.00362,0.0974,-9.092,0.0661,99.029,0.544,Electronic
87762,44,0.0161,0.683,182000,0.68,0,0.319,-5.861,0.0376,145.042,0.557,Electronic
78712,43,0.581,0.515,287227,0.574,0.575,0.185,-9.8,0.0279999999999999,136.993,0.274,Electronic
70956,36,0.00163,0.736,241733,0.659,0.806,0.0905,-6.549,0.0352,108.871,0.285,Electronic
63892,41,0.0133,0.569,265100,0.96,0.00135,0.0734,-4.513,0.296,75.016,0.0413,Electronic
73313,36,0.122,0.878,330000,0.921,0.0218,0.258,-5.162,0.132,127.996,0.487,Electronic
87096,50,0.0049,0.766,232275,0.839,0.0108,0.114,-5.123,0.0409999999999999,124.992,0.113,Electronic
53681,41,0.000367,0.518,270859,0.702,0.841,0.396,-5.039,0.0299,117.014,0.23,Electronic
90969,51,0.00988,0.702,219200,0.807,0.00971,0.111,-2.688,0.206,75.063,0.363,Electronic
89024,29,0.000266,0.866,406605,0.697,0.0401,0.0528,-7.201,0.067,124.014,0.776,Electronic
83711,24,0.00324,0.466,214000,0.907,0.00000302,0.0901,-5.603,0.348,149.965,0.332,Electronic
88009,42,0.00268,0.483,195200,0.898,0.944,0.136,-5.623,0.0406,149.991,0.0393,Electronic
88574,50,0.0846,0.508,230533,0.808,0.000727,0.0719,-12.496,0.0403,94.255,0.209,Electronic
51545,26,0.00413,0.482,228857,0.758,0.0904,0.2,-3.333,0.057,125.005,0.253,Electronic
90244,37,0.0009019999999999,0.569,264000,0.786,0.426,0.107,-4.375,0.137,150.022,0.396,Electronic
37801,30,0.0086,0.561,218200,0.821,0.00347,0.103,-8.677,0.0289,119.711,0.854,Electronic
30372,31,0.000516,0.571,183985,0.923,0.215,0.143,-2.597,0.0658,150.22,0.465,Electronic
59101,34,0.166,0.637,206118,0.472,0.105,0.143,-4.984,0.108,84.599,0.22,Electronic
