,ApplicationID,ResponseTime,InterestRate,CustomerInteraction,SatisfactionQuality
0,1,Fast,Low,Poor,0.2049792328259108
1,2,Moderate,High,Good,0.4626103032569784
2,3,Slow,Medium,Average,0.8743980317083307
3,4,Moderate,High,Average,0.4288843893947102
4,5,Fast,High,Poor,0.12663712551837436
5,6,Slow,Medium,Average,0.19598018470176193
6,7,Slow,High,Average,0.7347592888493786
7,8,Fast,Medium,Average,0.26974246587376705
8,9,Moderate,Low,Good,0.9891253191087334
9,10,Moderate,Medium,Average,0.052023755029446894
10,11,Slow,High,Good,0.9994606810596731
11,12,Fast,Low,Good,0.5097260752881797
12,13,Fast,High,Good,0.28467473884646366
13,14,Slow,Low,Good,0.8801547329102589
14,15,Fast,Medium,Average,0.6205568470234586
15,16,Moderate,Medium,Average,0.6374024812092216
16,17,Moderate,High,Good,0.47132179410506836
17,18,Moderate,High,Poor,0.11800602661937487
18,19,Moderate,High,Average,0.5122605638762605
19,20,Moderate,Medium,Good,0.9935781728192187
20,21,Fast,High,Good,0.050322932934663944
21,22,Moderate,High,Good,0.2028731759142346
22,23,Moderate,High,Good,0.13605623443164294
23,24,Moderate,Low,Average,0.7299235192858211
24,25,Slow,Medium,Poor,0.2047194539499989
25,26,Fast,Low,Poor,0.14218137638735162
26,27,Slow,High,Poor,0.05450927741371958
27,28,Fast,High,Average,0.8855594435856314
28,29,Moderate,High,Poor,0.3316578441770175
29,30,Fast,High,Poor,0.21011777594021452
30,31,Fast,Medium,Average,0.021981814809622913
31,32,Slow,Medium,Average,0.297214113845096
32,33,Moderate,High,Average,0.09251662118309445
33,34,Moderate,Medium,Good,0.002184142857248772
34,35,Moderate,Medium,Poor,0.9206281367107758
35,36,Slow,High,Good,0.40252635549014204
36,37,Moderate,High,Average,0.26266973533048454
37,38,Slow,Medium,Good,0.33721249040628576
38,39,Moderate,Medium,Average,0.12331849107529225
39,40,Fast,Low,Poor,0.8031705116327311
40,41,Moderate,High,Good,0.3733531610318317
41,42,Slow,Low,Average,0.3616073184253895
42,43,Fast,Medium,Good,0.10580502485651422
43,44,Moderate,Low,Average,0.9559031723881823
44,45,Moderate,Medium,Poor,0.5785639322793544
