,ApplicationID,LoanAmount,CreditScore,EmploymentStatus,ApprovalYield
0,1,High,Excellent,Unemployed,0.1834347898661638
1,2,Low,Poor,Self-Employed,0.44583275285359114
2,3,High,Good,Self-Employed,0.8661761457749352
3,4,High,Fair,Unemployed,0.9699098521619943
4,5,Medium,Fair,Employed,0.18182496720710062
5,6,Low,Poor,Employed,0.5247564316322378
6,7,Low,Poor,Self-Employed,0.6118528947223795
7,8,Medium,Excellent,Self-Employed,0.45606998421703593
8,9,High,Fair,Self-Employed,0.38246199126716274
9,10,Low,Good,Unemployed,0.6075448519014384
10,11,Low,Poor,Self-Employed,0.013264961159866528
11,12,Low,Excellent,Employed,0.8083973481164611
12,13,Low,Fair,Unemployed,0.230893825622149
13,14,High,Excellent,Self-Employed,0.6099966577826209
14,15,High,Good,Employed,0.3910606075732408
15,16,Medium,Excellent,Employed,0.4251558744912447
16,17,Medium,Fair,Employed,0.03131329245555858
17,18,Medium,Fair,Employed,0.3951502360018144
18,19,Medium,Good,Self-Employed,0.0884925020519195
19,20,High,Excellent,Unemployed,0.9611720243493491
20,21,Low,Excellent,Unemployed,0.2713490317738959
21,22,Low,Excellent,Employed,0.965255307264138
22,23,Low,Poor,Unemployed,0.8021969807540397
23,24,Low,Poor,Self-Employed,0.4234014807063696
24,25,Low,Excellent,Self-Employed,0.8154614284548342
25,26,Low,Excellent,Self-Employed,0.7901755405312056
26,27,High,Poor,Employed,0.3584657285442726
27,28,Low,Excellent,Self-Employed,0.8500385777897993
28,29,Medium,Poor,Self-Employed,0.3109823217156622
29,30,Low,Good,Employed,0.8872127425763265
30,31,Low,Good,Unemployed,0.9717120953891037
31,32,High,Poor,Unemployed,0.5612771975694962
32,33,High,Fair,Self-Employed,0.04043358953843135
33,34,High,Good,Employed,0.02541912674409519
34,35,Low,Good,Self-Employed,0.8957635956735194
35,36,Low,Excellent,Unemployed,0.5085706911647028
36,37,Medium,Poor,Self-Employed,0.6044173792778172
37,38,High,Good,Unemployed,0.22879816549162246
38,39,High,Good,Self-Employed,0.16122128725400442
39,40,Medium,Fair,Unemployed,0.295633685837714
40,41,Low,Fair,Employed,0.8832802589188683
41,42,Medium,Good,Unemployed,0.3180034749718639
42,43,Low,Poor,Unemployed,0.6476901205413623
43,44,Low,Excellent,Unemployed,0.8607305832563434
44,45,High,Fair,Self-Employed,0.417411003148779
45,46,Low,Poor,Self-Employed,0.2694123337985215
46,47,High,Good,Employed,0.21876421957307024
47,48,Low,Excellent,Unemployed,0.06489224710898156
48,49,Medium,Excellent,Employed,0.6963042728397884
49,50,High,Poor,Unemployed,0.2848404943774676
50,51,Low,Good,Unemployed,0.9766149558326529
51,52,Medium,Good,Unemployed,0.345071248026683
52,53,Low,Good,Employed,0.1448948720912231
53,54,Medium,Excellent,Employed,0.2420552715115004
54,55,High,Good,Self-Employed,0.24215993827742588
55,56,Medium,Excellent,Unemployed,0.6323058305935795
56,57,Medium,Fair,Self-Employed,0.8164318732193839
57,58,Low,Poor,Self-Employed,0.18651851039985423
58,59,Low,Good,Self-Employed,0.2202410475655483
59,60,Medium,Good,Self-Employed,0.22649577519793795
60,61,High,Excellent,Unemployed,0.690937738102466
61,62,High,Fair,Unemployed,0.6756901170392807
62,63,Low,Poor,Employed,0.9246936182785628
63,64,Medium,Fair,Self-Employed,0.22855002179729966
64,65,Medium,Excellent,Unemployed,0.5166358912710143
