Age,Salary,Experience,Education,Satisfaction
51,75296,10+ years,PhD,Very Dissatisfied
32,66430,6-10 years,Bachelor,Neutral
40,74444,3-5 years,PhD,Very Dissatisfied
40,34093,0-2 years,PhD,Satisfied
34,65947,0-2 years,PhD,Neutral
26,50772,10+ years,PhD,Satisfied
35,53354,3-5 years,Master,Very Satisfied
49,41877,0-2 years,Master,Very Satisfied
31,74969,10+ years,Bachelor,Dissatisfied
24,58799,0-2 years,Bachelor,Neutral
21,59243,6-10 years,Bachelor,Very Satisfied
52,44578,3-5 years,High School,Very Satisfied
34,91408,3-5 years,Associate,Neutral
35,74631,0-2 years,High School,Satisfied
41,70518,6-10 years,Associate,Neutral
34,91225,3-5 years,High School,Very Satisfied
21,81943,10+ years,Master,Very Satisfied
57,55274,3-5 years,PhD,Satisfied
57,91178,6-10 years,High School,Very Satisfied
52,65107,3-5 years,Master,Very Satisfied
41,73957,0-2 years,Master,Dissatisfied
46,51016,3-5 years,PhD,Satisfied
38,85638,0-2 years,Bachelor,Neutral
29,98076,10+ years,Master,Neutral
32,59314,3-5 years,Associate,Very Satisfied
40,59798,6-10 years,High School,Dissatisfied
55,76328,3-5 years,PhD,Neutral
50,56459,6-10 years,PhD,Very Dissatisfied
54,81326,10+ years,High School,Very Dissatisfied
28,72586,10+ years,Bachelor,Very Satisfied
36,92145,3-5 years,Associate,Very Dissatisfied
55,72731,10+ years,Master,Very Dissatisfied
32,40639,0-2 years,High School,Satisfied
51,59798,10+ years,Associate,Neutral
48,44050,10+ years,Associate,Dissatisfied
57,99125,0-2 years,Master,Very Dissatisfied
42,62402,10+ years,Bachelor,Neutral
39,81884,10+ years,PhD,Very Satisfied
43,50173,3-5 years,Master,Very Satisfied
22,41416,3-5 years,Associate,Neutral
28,51650,6-10 years,Master,Very Satisfied
58,71305,10+ years,Master,Very Dissatisfied
22,37410,10+ years,High School,Neutral
19,80116,6-10 years,PhD,Very Satisfied
25,44047,3-5 years,High School,Very Dissatisfied
43,49964,6-10 years,High School,Very Dissatisfied
37,51127,0-2 years,Associate,Satisfied
20,81742,6-10 years,Associate,Dissatisfied
32,90772,10+ years,Associate,Very Dissatisfied
35,80315,10+ years,Associate,Very Dissatisfied
42,30348,3-5 years,PhD,Neutral
50,75590,0-2 years,PhD,Satisfied
33,69222,3-5 years,PhD,Very Dissatisfied
49,58708,10+ years,Associate,Satisfied
43,57115,6-10 years,Master,Dissatisfied
19,44940,6-10 years,High School,Very Dissatisfied
44,90845,10+ years,PhD,Very Satisfied
51,53249,0-2 years,PhD,Very Dissatisfied
40,99316,0-2 years,High School,Neutral
46,64377,3-5 years,Associate,Very Dissatisfied
56,49773,0-2 years,Bachelor,Very Satisfied
18,45325,6-10 years,Master,Very Satisfied
42,83664,3-5 years,Associate,Dissatisfied
47,85079,10+ years,Master,Satisfied
26,91699,10+ years,Bachelor,Satisfied
40,34260,6-10 years,PhD,Dissatisfied
50,58152,3-5 years,Associate,Dissatisfied
41,31891,6-10 years,Associate,Very Satisfied
26,83466,0-2 years,Master,Very Dissatisfied
33,86776,3-5 years,High School,Satisfied
40,43052,3-5 years,Master,Neutral
40,90635,3-5 years,PhD,Very Satisfied
23,48367,6-10 years,Bachelor,Satisfied
50,37348,3-5 years,Master,Very Satisfied
25,94035,3-5 years,Associate,Dissatisfied
57,41745,3-5 years,PhD,Neutral
47,93616,6-10 years,Associate,Satisfied
22,36209,6-10 years,Associate,Very Dissatisfied
43,64127,3-5 years,Bachelor,Satisfied
31,80235,3-5 years,Associate,Very Satisfied
40,60075,10+ years,High School,Satisfied
32,79809,0-2 years,Associate,Very Dissatisfied
42,69216,10+ years,High School,Very Dissatisfied
32,51381,0-2 years,Bachelor,Very Dissatisfied
41,46726,6-10 years,Master,Neutral
48,58489,6-10 years,Bachelor,Very Dissatisfied
38,79734,10+ years,Associate,Very Dissatisfied
49,41380,10+ years,PhD,Very Dissatisfied
35,69524,0-2 years,High School,Very Dissatisfied
48,93260,10+ years,Master,Dissatisfied
42,49367,0-2 years,Associate,Very Satisfied
21,69447,0-2 years,High School,Dissatisfied
36,71319,0-2 years,PhD,Satisfied
28,87353,6-10 years,Bachelor,Very Dissatisfied
48,88483,6-10 years,Associate,Very Dissatisfied
41,52275,3-5 years,Master,Dissatisfied
18,54844,0-2 years,Bachelor,Neutral
23,84388,6-10 years,PhD,Dissatisfied
38,70130,10+ years,High School,Very Dissatisfied
18,30615,3-5 years,PhD,Very Satisfied
